"","Mut_according_mut_spec","Looser_Gainer_count","Gainer_Looser_count","From_Looser_to_other_count","To_Looser_from_other_count","From_Gainer_to_other","To_Gainer_from_other","Looser_Gainer_grantham","p.value","odds_ratio"
"1","V>F",4752,4057,27000,26815,20298,21133,50,5.19485627458758e-11,1.16327881290511
"2","D>Y",4789,4107,8892,8950,7021,7086,160,7.52170619683043e-10,1.17365356912148
"3","A>S_TC",5951,5159,18891,18441,19660,19618,99,4.2145755328526e-08,1.12603651841067
"4","V>L_TT",3773,3293,27979,27579,17313,17161,32,1.57940452705031e-06,1.12938039599079
"5","S_AG>I",1911,1662,5995,6188,32417,33830,142,7.09483276057391e-06,1.18682021946354
"6","C>F",992,865,5927,6421,23490,24893,205,1.45872475441521e-05,1.24238144392518
"7","A>V",14543,14269,10299,9331,17483,16329,64,1.74106446005972e-05,0.923409919334642
"8","H>Y",5199,5175,5661,6233,5953,6676,83,0.000177383657773576,1.10614213296389
"9","T>I",21017,20645,6858,7146,13434,14724,89,0.00254243811457841,1.0607383632961
"10","S_TC>L_TT",5299,5190,19520,20379,15416,15635,145,0.00363664924457574,1.06590474478962
"11","R_AG>I",809,696,5446,5414,33383,34932,97,0.00896411854440721,1.15551162662842
"12","S_TC>F",5134,5054,19685,20515,19301,20751,155,0.0103901318835109,1.05862529424433
"13","G>V",2452,2099,10695,9884,29653,28420,109,0.019886108523307,1.0795658091911
"14","R_CG>L_CT",848,745,5309,5225,25919,25992,102,0.0359810118077559,1.12023415488807
"15","L_CT>F",9675,9534,16989,17306,14821,16210,22,0.0659982684432919,1.03373788218984
"16","R_AG>M",158,130,6097,5980,7903,7274,91,0.152396068601386,1.19204328014845
"17","W>L_TT",507,428,1044,970,20178,20427,61,0.234609079416932,1.10057856250898
"18","G>*_TG",75,55,13072,11928,30,29,0,0.252383070537842,1.24428487502808
"19","R_CG>W",145,160,6012,5810,1391,1253,101,0.270496793589355,0.875810770568548
"20","E>*_TA",603,521,6719,6212,511,526,0,0.289954057590931,1.07008152142132
"21","L_CT>L_TT",6825,6767,19839,20073,13839,14109,0,0.311070152421271,1.02047132422423
"22","Q>*_TA",445,435,6856,6339,597,684,0,0.443401534415669,0.945824025572445
"23","P>L_CT",6949,6784,10195,10099,19880,19891,98,0.514441132335532,1.01467900637638
"24","P>S_TC",8454,8379,8690,8504,16440,17115,74,0.558210139963109,0.987353329191707
"25","T>M",1436,1458,26439,26333,6575,5996,81,0.619655777570139,0.980959476561214
"26","R_CG>C",2174,2128,3983,3842,4791,5112,180,0.704231109754659,0.985449253145802
"27","G>W",162,146,12985,11837,1405,1236,184,0.954250365127248,1.01149095391457
"28","*_TG>L_TT",4,4,81,100,20602,20930,0,1,1.2331770091
