"","NucSubst","ORF1ab","S","ORF3a","E","M","ORF6","ORF7a","ORF7b","ORF8","N","ORF10"
"1","A>C","16.9861351819757","43.0289855072464","46.6744186046512","9.54545454545454","7.725","19.2","39.4615384615385","120","37.4117647058824","33.5571428571429","10.6666666666667"
"2","A>G","52.4455549710679","87.0183486238532","72.9677419354839","42","51.5192307692308","30.9375","51.3947368421053","34.25","59.2702702702703","85.7578125","59.1428571428571"
"3","A>U","15.1008902077151","30","42","22.8","18.7941176470588","59.6666666666667","32.1818181818182","210","60.8","48.8135593220339","10.5"
"4","C>A","40.2193548387097","86.7878787878788","75.1153846153846","22.5","11.1923076923077","43.5","140.571428571429","109","88.2857142857143","38.2","31"
"5","C>G","8.27295918367347","52.2289156626506","49.7142857142857","33","33.7894736842105","8","53","16.5","124.5","45.1836734693878","12"
"6","C>U","389.701846965699","361.702325581395","489.421875","181.333333333333","313.85","574","526.44","258","617.368421052632","414.059405940594","381.6"
"7","G>A","154.934451219512","269.486486486487","173.888888888889","62.7272727272727","111.6","69.4285714285714","170.5","141","207.818181818182","223.903846153846","105.75"
"8","G>C","16.8191489361702","151.714285714286","130.125","8.25","58.25","2.57142857142857","61.2","18","68.25","107.85","18"
"9","G>U","428.170212765957","850.285714285714","1525.5","49.5","323.5","133.714285714286","535.8","340.5","1216.5","768.15","349.5"
"10","U>A","8.29391699829448","14.5714285714286","21.7183098591549","9.24","10.7142857142857","35.7857142857143","21.1","62.1","29.2758620689655","30.8023255813953","16.2"
"11","U>C","127.981802426343","122.84012539185","254.631147540984","88.6216216216216","206.966666666667","194.464285714286","281.75","143.045454545455","187.645161290323","287.270833333333","253.2"
"12","U>G","45.0943396226415","72.5239726027397","176.08064516129","14.125","76.1333333333333","87","91.0384615384615","105.5","183.25","177.701298701299","130.2"
