,aa,importance
0,Gln,76.71567591327221
1,Asp,73.10066422543558
2,Trp,56.23665758067246
3,Asn,55.74029414485968
4,Cys,51.91895392397281
5,Lys,49.98139398090691
6,Ala,47.89021036598313
7,His,47.2475121632722
8,Glu,41.626877276295616
9,Val,40.969597299781
10,Leu,40.61427170305041
11,Pro,30.712677844236396
12,Tyr,16.387673674566763
13,Arg,16.284483332677592
14,Phe,15.814602668656104
15,Thr,15.55110214511058
16,Met,15.172455603469226
17,Ser,13.870424351381685
18,Gly,12.523879357585942
19,Ile,7.514945400006553
